Company,Website,Status,Emails
ABB India Ltd,https://careers.abb/global/en/home,Good Website,Not Found
Aegis Logistics Ltd,https://aegisindia.com/,Good Website,customercare@aegisindia.com
Amara Raja Energy & Mobility Ltd,https://www.amararaja.com/amara-raja-energy-and-mobility-ltd/,No Website,Not Found
Ambalal Sarabhai Enterprises Ltd,https://indianlawlive.net/2023/01/30/how-to-prove-whatsap-messages-facebook-and-website/,Good Website,Not Found
Andhra Petrochemicals Ltd,https://bioenergytimes.com/500-biogas-plants-to-come-up-in-andhra-pradesh/,No Website,Not Found
Ansal Properties & Infrastructure Ltd,https://www.ansalapi.com/,Good Website,cirpofapil@minervaresolutions.com
Utique Enterprises Ltd,https://www.fmworldusa.com/,Good Website,Not Found
Aruna Hotels Ltd,https://arunaresort.com/,Good Website,reservations@arunaresort.com
Bombay Dyeing & Manufacturing Company Ltd,https://bombaydyeing.com/,Good Website,Not Found
Asian Hotels (North) Ltd,https://www.bookmark4you.com/tag/hotel-news-usa,Good Website,Not Found
Atul Ltd,https://www.atul.co.in/,Good Website,Not Found
ATV Projects India Ltd,https://atvprojects.co.in/,Good Website,atv_india@yahoo.com
Bajaj Electricals Ltd-$,https://www.bajajelectricals.com/,Dead Website,"?subject=Check%20this%20out&body=https://www.bajajelectricals.com/, consumercare@bajajelectricals.com"
Bajaj Hindusthan Sugar Ltd,https://www.bajajhindusthan.com/,Good Website,Not Found
Force Motors Ltd-$,https://www.forcemotors.com/,Good Website,corporatecommunications@forcemotors.com?Subject=Force Motors - Enquiry From Website
Bajaj Finance Ltd,https://www.bajajfinserv.in/,Good Website,Not Found
Balrampur Chini Mills Ltd,https://chini.com/,Good Website,Not Found
Banco Products (India) Ltd-$,https://www.bancoindia.com/,Good Website,mail@bancoindia.com
Aditya Birla Real Estate Ltd,https://www.adityabirlarealestate.com/,Good Website,"rnt.helpdesk@in.mpms.mufg.com, ctil.secretary@adityabirla.com, abrel.info@adityabirla.com"
Bannari Amman Sugars Ltd,https://www.bannari.com/whatsnew.html,No Website,Not Found
BASF India Ltd,https://www.basf.com/in/en,Good Website,?subject=undefined&body=undefined
Bata India Ltd,https://www.99corporates.com/Company-Overview/BATA-INDIA-LTD/CIN/L19201WB1931PLC007261,Dead Website,Not Found
BEML Ltd,https://www.bemlindia.in/,Good Website,Not Found
Bharat Electronics Ltd,https://ghaziabad.nic.in/en/public-utility/bharat-electronics-limited/,Good Website,guptapk@bel.co.in
Bhansali Engineering Polymers Ltd-$,https://bhansaliabs.com/public/about-us,Good Website,"abstron@bhansaliabs.com, RNT.helpdesk@linkintime.co.in"
Bihar Sponge Iron Ltd,https://www.zoominfo.com/c/bihar-sponge-iron-ltd/397741222,Dead Website,Not Found
Bil Vyapar Ltd,https://vyaparapp.in/,Good Website,Not Found
Birla Cable Ltd,https://www.birlacable.com/,Good Website,", info@birlacable.com"
Blue Star Ltd,https://consumer.bluestarindia.com/,Good Website,Not Found
Disa India Ltd,https://netbanking.indianbank.bank.in/jsp/startIB.jsp,Poor Website,Not Found
Quest Capital Markets Ltd,https://www.qcml.in/,No Website,Not Found
BPL Ltd,https://www.bpl.org/welcome-to-boston/,Good Website,ask@bpl.org
Oriental Aromatics Ltd-$,https://www.orientalaromatics.com/,Good Website,"info@orientalaromatics.com, oa@orientalaromatics.com"
Century Extrusions Ltd,https://onecpm.com/brand/century-extrusion/,Good Website,Not Found
CESC Ltd,https://www.cesc.com/en/index.html,No Website,Not Found
Chambal Fertilisers & Chemicals Ltd,https://www.chambalfertilisers.com/,Good Website,Not Found
Exide Industries Ltd,https://www.exideindustries.com/,Good Website,"exideindustrieslimited@exide.co.in, exidecare@exide.co.in"
Cipla Ltd,https://www.cipla.com/,Good Website,Not Found
DIC India Ltd,https://dic.co.in/,Good Website,sales@dic.co.in
CRISIL Ltd,https://www.greenwich.com/press-release/crisil-unveils-new-brand-identity,Good Website,ms@coalition.com
CG Power and Industrial Solutions Ltd,https://www.cgglobal.com/,Good Website,Not Found
Dabur India Ltd,https://www.dabur.com/,Good Website,"corpcomm@dabur.com, corporatecommunications@dabur.com"
Dalmia Bharat Sugar and Industries Ltd,https://www.dalmiasugar.com/,Good Website,Not Found
Arvind Ltd,https://www.arvindfashions.com/,Good Website,Not Found
Bharat Heavy Electricals Ltd,https://heavyindustries.gov.in/en/bharat-heavy-electricals-limited-bhel-0,Good Website,Not Found
Hindustan Petroleum Corporation Ltd,https://hpcltech.com/,No Website,Not Found
IFCI Ltd,https://www.ifciltd.com/,Good Website,"Ifcibonds4@gmail.com, infrabonds@ifciltd.com, bondscomplianceofficer@ifciltd.com"
Mahanagar Telephone Nigam Ltd,https://mtnlmumbai.in/,Good Website,cgmonline@mtnl.net.in
Mangalore Refinery and Petrochemicals Ltd,https://mrpl.co.in/en/,No Website,Not Found
Chennai Petroleum Corporation Ltd,https://cpcl.co.in/,No Website,Not Found
State Bank of India,https://www.askbankifsccode.com/STATE-BANK-OF-INDIA/MADHYA-PRADESH/ALIRAJPUR/CHANDRA-SHEKHAR-AZAD-NAGAR-SBIN0064503,No Website,Not Found
